norm_key,ziel,anzahl_records,korrigierte_records,varianten
MHIVESTASV17495MW,MHI Vestas V174-9.5 MW,24,6,"MHI Vestas V174-9.5 MW:18 || MHI Vestas V174-9,5 MW:6"
N163/6XTCS164,N163/6.X TCS164,66,6,N163/6.X TCS164:60 || N163/6X TCS164:6
N11724MW,"N117-2,4MW",23,5,"N117-2,4MW:18 || N-117 2.4 MW:5"
E92235MW,"E-92 2,35MW",13,5,"E-92 2,35MW:8 || E-92 2.35MW:5"
EW15SL,EW 1.5sl,18,5,"EW 1.5sl:13 || EW 1,5 sl:5"
GE55158,GE 5.5-158,168,5,"GE 5.5-158:163 || GE 5,5-158:3 || GE5.5.-158:2"
ANTARIS55,"Antaris 5,5",11,5,"Antaris 5,5:6 || Antaris 5.5:5"
V16262MW,V162-6.2 MW,106,5,"V162-6.2 MW:101 || V162-6,2MW:5"
ENO12648MW,"eno126 - 4,8MW",11,5,"eno126 - 4,8MW:6 || eno 126, 4,8 MW:5"
V661750,V66  - 1.750,25,5,V66  - 1.750:20 || V66-1750:5
SKYWINDNG1KW230/110V,"SkyWind NG 1kW, 230/110 V",12,5,"SkyWind NG 1kW, 230/110 V:7 || SkyWind NG 1KW 230/110V:5"
VESTASV16262,Vestas V162-6.2,44,5,"Vestas V162-6.2:39 || Vestas V162-6,2:5"
VESTASV16272MW,Vestas V162-7.2 MW,11,5,"Vestas V162-7.2 MW:6 || Vestas V162-7,2MW:5"
E70E4,E-70 E4,1240,4,"E-70 E4:1236 || E-70, E4:4"
V12633,V 126-3.3,53,4,"V 126-3.3:49 || V126 - 3,3:4"
ENO92,eno 92,15,4,eno 92:11 || e.n.o. 92:4
V117345,V117-3.45,9,4,"V117-3.45:5 || V117-3,45:4"
GE15,"GE 1,5",14,4,"GE 1,5:10 || GE 1.5:4"
V15060,V150-6.0,90,4,"V150-6.0:86 || V150-6,0:4"
N149/4500,N149/4500,9,4,N149/4500:5 || N 149/ 4.500:4
V902MW,V90 2MW,50,3,"V90 2MW:47 || V90, 2 MW:3"
GE275,GE 2.75,16,3,"GE 2.75:13 || GE 2,75:3"
34M114,3.4M114,55,3,"3.4M114:52 || 3,4M114:3"
V11233,V112-3.3,64,3,"V112-3.3:61 || V 112 - 3,3:3"
N131/3300,N131/3300,45,3,N131/3300:42 || N 131/3.300:3
ENERCONE40/644,Enercon E-40/6.44,32,3,"Enercon E-40/6.44:29 || Enercon E -40/644:2 || Enercon E40/6,44:1"
ENO12635MW,"eno126 - 3,5MW",9,3,"eno126 - 3,5MW:6 || eno126 - 3.5MW:3"
32M,3.2M,25,3,"3.2M:22 || 3,2 M:3"
E70E423MW,"E-70 E4 2,3 MW",6,3,"E-70 E4 2,3 MW:3 || E-70 E4 - 2.3MW:3"
REPOWER32M114,REpower 3.2M114,17,3,"REpower 3.2M114:14 || Repower 3,2M114:3"
GEWINDENERGY15S,"GE Wind Energy 1,5S",10,3,"GE Wind Energy 1,5S:7 || GE Wind Energy 1.5s:3"
GE285103,GE 2.85 - 103,8,3,"GE 2.85 - 103:5 || GE-2,85-103:3"
VESTASV15042MW,Vestas V150-4.2MW,18,3,"Vestas V150-4.2MW:15 || Vestas V150-4,2 MW:3"
3XM,3.XM,8,3,3.XM:5 || 3XM:3
E8223MW,E-82 2.3 MW,7,3,"E-82 2.3 MW:4 || E-82 2,3 MW:3"
WINDSPOT35,Windspot 3.5,7,3,"Windspot 3.5:4 || Windspot 3,5:3"
15S,"1,5s",31,3,"1,5s:28 || 1.5s:3"
VESTASV15060MW,Vestas V150-6.0MW,16,3,"Vestas V150-6.0MW:13 || Vestas V150-6,0 MW:3"
N163/57,N163/5.7,13,3,"N163/5.7:10 || N163/5,7:3"
N163/70,N163/7.0,16,3,"N163/7.0:13 || N163/7,0:3"
SWT36120,SWT-3.6-120,439,2,"SWT-3.6-120:437 || SWT 3,6-120:2"
E11530MW,"E-115- 3,0 MW",17,2,"E-115- 3,0 MW:15 || E-115 3.0MW:2"
E40/644,E-40/6.44,302,2,"E-40/6.44:300 || E40/6,44:1 || E-40/6 44:1"
34M,3.4M,19,2,"3.4M:17 || 3,4M:2"
E66/18703,E-66/18.70-3,252,2,E-66/18.70-3:250 || E-66/1870-3:1 || E-66/18.70.3:1
ENO9222,eno 92 - 2.2,14,2,eno 92 - 2.2:12 || e.n.o. 92-2.2:1 || e.n.o 92 -2.2:1
E662070,E-66 20.70,16,2,E-66 20.70:14 || E-66 20-70:2
V52850KW,V52 - 850 kW,43,2,"V52 - 850 kW:41 || V 52, 850kW:2"
ANTARIS95,Antaris 9.5,5,2,"Antaris 9.5:3 || Antaris 9,5:2"
ANTARIS75,"Antaris 7,5",14,2,"Antaris 7,5:12 || ANTARIS 7.5:2"
V15042MW,V150-4.2 MW,20,2,"V150-4.2 MW:18 || V150-4,2 MW:2"
ENO114,eno 114,10,2,eno 114:8 || e.n.o. 114:2
V11733MW,V117-3.3MW,5,2,"V117-3.3MW:3 || V117-3,3MW:2"
N149/4045,N149/4.0-4.5,34,2,"N149/4.0-4.5:32 || N149 / 4,0 -4,5:2"
34XM104,3.4XM104,5,2,"3.4XM104:3 || 3,4 XM 104:2"
V136345,V136-3.45,5,2,"V136-3.45:3 || V136 - 3,45:2"
E8223,E 82 2.3,12,2,"E 82 2.3:10 || E-82-2,3:2"
V802MW,V80 - 2 MW,46,2,"V80 - 2 MW:44 || V80, 2MW:2"
V12633/345,V126-3.3/3.45,4,2,"V-126 3,3/3,45:2 || V126-3.3/3.45:2"
SWT2393VS,"SWT 2,3 -93 VS",5,2,"SWT 2,3 -93 VS:3 || SWT-2.3-93-VS:2"
E82E220MW,E-82 E2 2.0MW,6,2,"E-82 E2 2.0MW:4 || E-82E2 2,0MW:2"
E160EP5E3R1,E-160 EP5 E3 R1,378,2,E-160 EP5 E3 R1:376 || E.160 EP5 E3 R1:2
V12633/345MW,V126-3.3/3.45 MW,8,2,"V126-3.3/3.45 MW:6 || V126-3,3/3,45MW:2"
SENVION32MW,Senvion 3.2 MW,6,2,"Senvion 3.2 MW:4 || Senvion 3,2MW:2"
V80VCS20,"V80 VCS 2,0",6,2,"V80 VCS 2,0:4 || V80 VCS 2.0:2"
23,"2,3",6,2,"2,3:4 || 2.3:2"
V11733,"V117 3,3",3,2,"V117-3.3:1 || V117 3,3:1 || V117-3:3:1"
NORDEXN14957MW,"Nordex N149 5,7 MW",5,2,"Nordex N149 5,7 MW:3 || Nordex N149-5.7 MW:2"
E160EP5E3,E-160 EP5 E3,324,2,"E-160 EP5 E3:322 || E 160, EP5, E3:2"
GE15855MW,GE 158-5.5 MW,11,2,"GE 158-5.5 MW:9 || GE158-5,5 MW:2"
V16256,V162-5.6,52,2,"V162-5.6:50 || V162-5,6:2"
E82E2,E-82 E2,850,1,"E-82 E2:849 || E-82, E2:1"
E40/540,E-40/5.40,243,1,"E-40/5.40:242 || E-40/5,40:1"
32M114VG,3.2M114 VG,6,1,"3.2M114 VG:5 || 3,2M114 VG:1"
34XM,"3,4 XM",2,1,"3,4 XM:1 || 3.4 XM:1"
SWT32113,SWT-3.2-113,34,1,"SWT-3.2-113:33 || SWT-3,2-113:1"
V112345MW,"V112-3,45MW",2,1,"V112-3.45MW:1 || V112-3,45MW:1"
N1313300,N131 3300,16,1,N131 3300:15 || N131-3.300:1
V112345,V112-3.45,26,1,"V112-3.45:25 || V112-3,45:1"
E82E2/23MW,E-82 E2/2.3MW,27,1,"E-82 E2/2.3MW:26 || E-82 E2 / 2,3 MW:1"
VESTASV136345MW,"Vestas V136 - 3,45MW",4,1,"Vestas V136 - 3,45MW:3 || Vestas V-136, 3.45 MW:1"
SE32114,"SE3,2-114",2,1,"SE3.2-114:1 || SE3,2-114:1"
SKYSTREAM37,Skystream 3.7,4,1,Skystream 3.7:3 || SkyStream 3:7:1
275120,2.75-120,11,1,"2.75-120:10 || 2,75-120:1"
REPOWER34M104,Repower 3.4M104,24,1,"Repower 3.4M104:23 || Repower 3,4M104:1"
N149/45,N149/4.5,15,1,"N149/4.5:14 || N149/4,5:1"
62M126,6.2M126,75,1,"6.2M126:74 || 6,2M126:1"
E138EP3E2,E-138 EP3 E2,295,1,E-138 EP3 E2:294 || E.138 EP3 E2:1
HEYWIND25,"Heywind 2,5",3,1,"Heywind 2,5:2 || Heywind 2.5:1"
N117/2400R120,N117/2400 R120,2,1,"N117/2400, R120:1 || N117/2400 R120:1"
N149/4045NH164,N149/4.0-4.5NH164,6,1,N149/4.0-4.5NH164:5 || N149/4.0-.4.5 NH 164:1
